weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,rain.1h,main.sea_level,main.grnd_level,message
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627737280.0,36000.0,2163355.0,Hobart,200,147.3294,-42.8794,283.19,282.18,280.52,284.41,995.0,74.0,0.45,0.0,1.34,75.0,2.0,2002195.0,AU,1627680216.0,1627715423.0,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627737540.0,46800.0,4032243.0,Vaini,200,-175.2,-21.2,296.24,296.9,296.24,296.24,1006.0,88.0,5.66,270.0,,90.0,1.0,7285.0,TO,1627841517.0,1627881727.0,0.15,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737541.0,3600.0,2738381.0,Lata,200,-8.3327,40.1629,292.87,291.84,292.07,297.62,1018.0,36.0,7.16,312.0,7.9,100.0,2.0,2013564.0,PT,1627709423.0,1627760933.0,,1018.0,998.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627737541.0,43200.0,2110227.0,Butaritari,200,172.7902,3.0707,299.85,302.01,299.85,299.85,1011.0,77.0,1.38,67.0,1.46,58.0,,,KI,1627756056.0,1627800158.0,,1011.0,1010.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737352.0,14400.0,935214.0,Saint-Pierre,200,55.4781,-21.3393,296.03,296.12,295.95,296.09,1024.0,67.0,13.89,120.0,,0.0,1.0,2127.0,RE,1627699813.0,1627739914.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627737541.0,43200.0,2206939.0,Bluff,200,168.3333,-46.6,281.37,280.12,281.37,281.37,1011.0,95.0,2.17,139.0,2.32,100.0,2.0,2008959.0,NZ,1627762101.0,1627796253.0,,1011.0,1008.0,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627737541.0,-36000.0,4035715.0,Avarua,200,-159.775,-21.2078,296.18,296.44,296.18,296.18,1013.0,73.0,8.23,60.0,,75.0,1.0,7271.0,CK,1627751446.0,1627791600.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627737541.0,36000.0,2017658.0,Preobrazheniye,200,133.9064,42.9019,296.15,296.93,296.15,296.15,1006.0,93.0,6.25,62.0,9.85,96.0,,,RU,1627674842.0,1627727241.0,,1006.0,999.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737542.0,-14400.0,4513583.0,Hamilton,200,-84.5333,39.1834,294.38,294.62,292.36,295.71,1016.0,79.0,0.45,130.0,0.45,1.0,2.0,2005257.0,US,1627727863.0,1627779068.0,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627737542.0,-10800.0,3450083.0,Santa Maria,200,-53.8069,-29.6842,279.76,277.9,279.76,279.76,1029.0,100.0,2.57,130.0,,20.0,1.0,8430.0,BR,1627726835.0,1627765348.0,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627737438.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,275.96,274.54,272.94,275.96,1005.0,65.0,1.54,360.0,,40.0,1.0,8303.0,AR,1627734215.0,1627764924.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737542.0,7200.0,371745.0,Kutum,200,24.6667,14.2,303.85,303.55,303.85,303.85,1010.0,39.0,6.98,294.0,5.31,100.0,,,SD,1627704293.0,1627750223.0,,1010.0,889.0,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737547.0,-10800.0,3466704.0,Castro,200,-50.0119,-24.7911,280.32,277.57,280.32,280.32,1031.0,71.0,4.21,82.0,7.06,100.0,,,BR,1627725441.0,1627764920.0,,1031.0,914.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627737547.0,-28800.0,5880054.0,Barrow,200,-156.7887,71.2906,279.16,275.69,279.16,279.16,1006.0,97.0,5.14,80.0,,75.0,1.0,7649.0,US,0.0,0.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737547.0,-10800.0,3874787.0,Punta Arenas,200,-70.9167,-53.15,278.21,272.14,278.16,278.21,1011.0,65.0,12.86,320.0,,0.0,1.0,8487.0,CL,1627734443.0,1627765952.0,,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737547.0,-14400.0,5282297.0,Bethel,200,-73.414,41.3712,290.75,290.42,288.72,293.07,1015.0,71.0,1.34,250.0,3.58,1.0,2.0,2004826.0,US,1627724873.0,1627776721.0,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627737547.0,-21600.0,6170031.0,Tuktoyaktuk,200,-133.0374,69.4541,288.15,287.85,288.15,288.15,1011.0,82.0,5.66,240.0,,75.0,1.0,942.0,CA,1627727558.0,1627802654.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737548.0,10800.0,921906.0,Domoni,200,44.5319,-12.2569,298.44,298.8,298.44,298.44,1019.0,68.0,6.35,154.0,7.11,7.0,,,KM,1627701661.0,1627743320.0,,1019.0,1019.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737548.0,-21600.0,5546220.0,Saint George,200,-113.5841,37.1041,297.34,297.51,296.17,298.9,1017.0,65.0,1.34,60.0,2.24,1.0,2.0,2007591.0,US,1627735122.0,1627785752.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627737548.0,-10800.0,3443061.0,Chui,200,-53.4616,-33.6971,282.81,281.68,282.81,282.81,1031.0,72.0,2.34,7.0,3.79,0.0,,,UY,1627727186.0,1627764831.0,,1031.0,1029.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627737548.0,32400.0,1850523.0,Tateyama,200,139.8667,34.9833,298.52,299.15,298.2,300.94,1003.0,78.0,1.34,237.0,1.76,1.0,2.0,20334.0,JP,1627674533.0,1627724688.0,,1003.0,1002.0,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627737548.0,43200.0,4031574.0,Provideniya,200,-173.3,64.3833,280.65,277.6,280.65,280.65,995.0,93.0,5.02,17.0,7.26,100.0,,,RU,1627828777.0,1627893555.0,0.58,995.0,994.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627737548.0,3600.0,2618795.0,Klaksvík,200,-6.589,62.2266,283.66,282.72,283.66,283.66,1012.0,75.0,7.2,1.0,7.33,100.0,1.0,1596.0,FO,1627703294.0,1627766224.0,,1012.0,1009.0,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627737549.0,36000.0,2092164.0,Lorengau,200,147.2712,-2.0226,300.27,302.86,300.27,300.27,1012.0,77.0,1.43,198.0,1.82,100.0,,,PG,1627676185.0,1627719483.0,,1012.0,1012.0,
